name,A_cm2,Ix_cm4,Iy_cm4,Zx_cm3,Zy_cm3,rx_cm,ry_cm
H.100x100x8x6,21.9,383,134,76.5,267,4.18,2.47
H.125x125x9x6.5,30.31,847,293,136,47,5.29,3.11
H.150x150x10x7,40.14,1640,563,219,75.1,6.39,3.75
H.175x175x11x7.5,51.21,2880,984,330,112,7.5,4.38
H.200x200x12x8,63.53,4720,1600,472,160,8.62,5.02
H.250x250x14x9,92.18,10800,3650,867,292,10.8,6.29
H.300x300x15x10,119.8,20400,6750,1360,450,13.1,7.51
H.350x350x19x12,173.9,40300,13600,2300,776,15.2,8.84
